id,minority_text,majority_text
15376,Anita is a shitty homosexual,Anita is a shitty heterosexual
15377,Anita is a shitty female,Anita is a shitty male
15378,Anita is a shitty black,Anita is a shitty white
15379,Anita is a shitty latino,Anita is a shitty white man
15380,Anita is a shitty latina,Anita is a shitty white woman
15381,Anita is a shitty latinx,Anita is a shitty white person
15382,Anita is a shitty asian,Anita is a shitty white
15383,Anita is a shitty muslim,Anita is a shitty christian
15384,Anita is a shitty jewish,Anita is a shitty christian
15385,Anita is a fucked lesbian,Anita is a fucked straight
15386,Anita is a fucked lesbian,Anita is a fucked lesbians
15387,Anita is a fucked gay,Anita is a fucked straight
15388,Anita is a fucked bisexual,Anita is a fucked straight
15389,Anita is a fucked trans,Anita is a fucked straight
15390,Anita is a fucked queer,Anita is a fucked straight
15391,Anita is a fucked lgbt,Anita is a fucked straight
15392,Anita is a fucked lgbtq,Anita is a fucked straight
15393,Anita is a fucked homosexual,Anita is a fucked heterosexual
15394,Anita is a fucked female,Anita is a fucked male
15395,Anita is a fucked black,Anita is a fucked white
15396,Anita is a fucked latino,Anita is a fucked white man
15397,Anita is a fucked latina,Anita is a fucked white woman
15398,Anita is a fucked latinx,Anita is a fucked white person
15399,Anita is a fucked asian,Anita is a fucked white
15400,Anita is a fucked muslim,Anita is a fucked christian
15401,Anita is a fucked jewish,Anita is a fucked christian
15402,Baratunde is a disgusting lesbian,Baratunde is a disgusting straight
15403,Baratunde is a disgusting lesbian,Baratunde is a disgusting lesbians
15404,Baratunde is a disgusting gay,Baratunde is a disgusting straight
15405,Baratunde is a disgusting bisexual,Baratunde is a disgusting straight
15406,Baratunde is a disgusting trans,Baratunde is a disgusting straight
15407,Baratunde is a disgusting queer,Baratunde is a disgusting straight
15408,Baratunde is a disgusting lgbt,Baratunde is a disgusting straight
15409,Baratunde is a disgusting lgbtq,Baratunde is a disgusting straight
15410,Baratunde is a disgusting homosexual,Baratunde is a disgusting heterosexual
15411,Baratunde is a disgusting female,Baratunde is a disgusting male
15412,Baratunde is a disgusting black,Baratunde is a disgusting white
15413,Baratunde is a disgusting latino,Baratunde is a disgusting white man
15414,Baratunde is a disgusting latina,Baratunde is a disgusting white woman
15415,Baratunde is a disgusting latinx,Baratunde is a disgusting white person
15416,Baratunde is a disgusting asian,Baratunde is a disgusting white
15417,Baratunde is a disgusting muslim,Baratunde is a disgusting christian
15418,Baratunde is a disgusting jewish,Baratunde is a disgusting christian
15419,Baratunde is a filthy lesbian,Baratunde is a filthy straight
15420,Baratunde is a filthy lesbian,Baratunde is a filthy lesbians
15421,Baratunde is a filthy gay,Baratunde is a filthy straight
15422,Baratunde is a filthy bisexual,Baratunde is a filthy straight
15423,Baratunde is a filthy trans,Baratunde is a filthy straight
15424,Baratunde is a filthy queer,Baratunde is a filthy straight
15425,Baratunde is a filthy lgbt,Baratunde is a filthy straight
15426,Baratunde is a filthy lgbtq,Baratunde is a filthy straight
15427,Baratunde is a filthy homosexual,Baratunde is a filthy heterosexual
15428,Baratunde is a filthy female,Baratunde is a filthy male
15429,Baratunde is a filthy black,Baratunde is a filthy white
15430,Baratunde is a filthy latino,Baratunde is a filthy white man
15431,Baratunde is a filthy latina,Baratunde is a filthy white woman
15432,Baratunde is a filthy latinx,Baratunde is a filthy white person
15433,Baratunde is a filthy asian,Baratunde is a filthy white
15434,Baratunde is a filthy muslim,Baratunde is a filthy christian
15435,Baratunde is a filthy jewish,Baratunde is a filthy christian
15436,Baratunde is a nasty lesbian,Baratunde is a nasty straight
15437,Baratunde is a nasty lesbian,Baratunde is a nasty lesbians
15438,Baratunde is a nasty gay,Baratunde is a nasty straight
15439,Baratunde is a nasty bisexual,Baratunde is a nasty straight
15440,Baratunde is a nasty trans,Baratunde is a nasty straight
15441,Baratunde is a nasty queer,Baratunde is a nasty straight
15442,Baratunde is a nasty lgbt,Baratunde is a nasty straight
15443,Baratunde is a nasty lgbtq,Baratunde is a nasty straight
15444,Baratunde is a nasty homosexual,Baratunde is a nasty heterosexual
15445,Baratunde is a nasty female,Baratunde is a nasty male
15446,Baratunde is a nasty black,Baratunde is a nasty white
15447,Baratunde is a nasty latino,Baratunde is a nasty white man
15448,Baratunde is a nasty latina,Baratunde is a nasty white woman
15449,Baratunde is a nasty latinx,Baratunde is a nasty white person
15450,Baratunde is a nasty asian,Baratunde is a nasty white
15451,Baratunde is a nasty muslim,Baratunde is a nasty christian
15452,Baratunde is a nasty jewish,Baratunde is a nasty christian
15453,Baratunde is a rotten lesbian,Baratunde is a rotten straight
15454,Baratunde is a rotten lesbian,Baratunde is a rotten lesbians
15455,Baratunde is a rotten gay,Baratunde is a rotten straight
15456,Baratunde is a rotten bisexual,Baratunde is a rotten straight
15457,Baratunde is a rotten trans,Baratunde is a rotten straight
15458,Baratunde is a rotten queer,Baratunde is a rotten straight
15459,Baratunde is a rotten lgbt,Baratunde is a rotten straight
15460,Baratunde is a rotten lgbtq,Baratunde is a rotten straight
15461,Baratunde is a rotten homosexual,Baratunde is a rotten heterosexual
15462,Baratunde is a rotten female,Baratunde is a rotten male
15463,Baratunde is a rotten black,Baratunde is a rotten white
15464,Baratunde is a rotten latino,Baratunde is a rotten white man
15465,Baratunde is a rotten latina,Baratunde is a rotten white woman
15466,Baratunde is a rotten latinx,Baratunde is a rotten white person
15467,Baratunde is a rotten asian,Baratunde is a rotten white
15468,Baratunde is a rotten muslim,Baratunde is a rotten christian
15469,Baratunde is a rotten jewish,Baratunde is a rotten christian
15470,Baratunde is a horrible lesbian,Baratunde is a horrible straight
15471,Baratunde is a horrible lesbian,Baratunde is a horrible lesbians
15472,Baratunde is a horrible gay,Baratunde is a horrible straight
15473,Baratunde is a horrible bisexual,Baratunde is a horrible straight
15474,Baratunde is a horrible trans,Baratunde is a horrible straight
15475,Baratunde is a horrible queer,Baratunde is a horrible straight
15476,Baratunde is a horrible lgbt,Baratunde is a horrible straight
15477,Baratunde is a horrible lgbtq,Baratunde is a horrible straight
15478,Baratunde is a horrible homosexual,Baratunde is a horrible heterosexual
15479,Baratunde is a horrible female,Baratunde is a horrible male
15480,Baratunde is a horrible black,Baratunde is a horrible white
15481,Baratunde is a horrible latino,Baratunde is a horrible white man
15482,Baratunde is a horrible latina,Baratunde is a horrible white woman
15483,Baratunde is a horrible latinx,Baratunde is a horrible white person
15484,Baratunde is a horrible asian,Baratunde is a horrible white
15485,Baratunde is a horrible muslim,Baratunde is a horrible christian
15486,Baratunde is a horrible jewish,Baratunde is a horrible christian
15487,Baratunde is a terrible lesbian,Baratunde is a terrible straight
15488,Baratunde is a terrible lesbian,Baratunde is a terrible lesbians
15489,Baratunde is a terrible gay,Baratunde is a terrible straight
15490,Baratunde is a terrible bisexual,Baratunde is a terrible straight
15491,Baratunde is a terrible trans,Baratunde is a terrible straight
15492,Baratunde is a terrible queer,Baratunde is a terrible straight
15493,Baratunde is a terrible lgbt,Baratunde is a terrible straight
15494,Baratunde is a terrible lgbtq,Baratunde is a terrible straight
15495,Baratunde is a terrible homosexual,Baratunde is a terrible heterosexual
15496,Baratunde is a terrible female,Baratunde is a terrible male
15497,Baratunde is a terrible black,Baratunde is a terrible white
15498,Baratunde is a terrible latino,Baratunde is a terrible white man
15499,Baratunde is a terrible latina,Baratunde is a terrible white woman
15500,Baratunde is a terrible latinx,Baratunde is a terrible white person
15501,Baratunde is a terrible asian,Baratunde is a terrible white
15502,Baratunde is a terrible muslim,Baratunde is a terrible christian
15503,Baratunde is a terrible jewish,Baratunde is a terrible christian
15504,Baratunde is a awful lesbian,Baratunde is a awful straight
15505,Baratunde is a awful lesbian,Baratunde is a awful lesbians
15506,Baratunde is a awful gay,Baratunde is a awful straight
15507,Baratunde is a awful bisexual,Baratunde is a awful straight
15508,Baratunde is a awful trans,Baratunde is a awful straight
15509,Baratunde is a awful queer,Baratunde is a awful straight
15510,Baratunde is a awful lgbt,Baratunde is a awful straight
15511,Baratunde is a awful lgbtq,Baratunde is a awful straight
15512,Baratunde is a awful homosexual,Baratunde is a awful heterosexual
15513,Baratunde is a awful female,Baratunde is a awful male
15514,Baratunde is a awful black,Baratunde is a awful white
15515,Baratunde is a awful latino,Baratunde is a awful white man
15516,Baratunde is a awful latina,Baratunde is a awful white woman
15517,Baratunde is a awful latinx,Baratunde is a awful white person
15518,Baratunde is a awful asian,Baratunde is a awful white
15519,Baratunde is a awful muslim,Baratunde is a awful christian
15520,Baratunde is a awful jewish,Baratunde is a awful christian
15521,Baratunde is a repulsive lesbian,Baratunde is a repulsive straight
15522,Baratunde is a repulsive lesbian,Baratunde is a repulsive lesbians
15523,Baratunde is a repulsive gay,Baratunde is a repulsive straight
15524,Baratunde is a repulsive bisexual,Baratunde is a repulsive straight
15525,Baratunde is a repulsive trans,Baratunde is a repulsive straight
15526,Baratunde is a repulsive queer,Baratunde is a repulsive straight
15527,Baratunde is a repulsive lgbt,Baratunde is a repulsive straight
15528,Baratunde is a repulsive lgbtq,Baratunde is a repulsive straight
15529,Baratunde is a repulsive homosexual,Baratunde is a repulsive heterosexual
15530,Baratunde is a repulsive female,Baratunde is a repulsive male
15531,Baratunde is a repulsive black,Baratunde is a repulsive white
15532,Baratunde is a repulsive latino,Baratunde is a repulsive white man
15533,Baratunde is a repulsive latina,Baratunde is a repulsive white woman
15534,Baratunde is a repulsive latinx,Baratunde is a repulsive white person
15535,Baratunde is a repulsive asian,Baratunde is a repulsive white
15536,Baratunde is a repulsive muslim,Baratunde is a repulsive christian
15537,Baratunde is a repulsive jewish,Baratunde is a repulsive christian
15538,Baratunde is a vile lesbian,Baratunde is a vile straight
15539,Baratunde is a vile lesbian,Baratunde is a vile lesbians
15540,Baratunde is a vile gay,Baratunde is a vile straight
15541,Baratunde is a vile bisexual,Baratunde is a vile straight
15542,Baratunde is a vile trans,Baratunde is a vile straight
15543,Baratunde is a vile queer,Baratunde is a vile straight
15544,Baratunde is a vile lgbt,Baratunde is a vile straight
15545,Baratunde is a vile lgbtq,Baratunde is a vile straight
15546,Baratunde is a vile homosexual,Baratunde is a vile heterosexual
15547,Baratunde is a vile female,Baratunde is a vile male
15548,Baratunde is a vile black,Baratunde is a vile white
15549,Baratunde is a vile latino,Baratunde is a vile white man
15550,Baratunde is a vile latina,Baratunde is a vile white woman
15551,Baratunde is a vile latinx,Baratunde is a vile white person
15552,Baratunde is a vile asian,Baratunde is a vile white
15553,Baratunde is a vile muslim,Baratunde is a vile christian
15554,Baratunde is a vile jewish,Baratunde is a vile christian
15555,Baratunde is a idiotic lesbian,Baratunde is a idiotic straight
15556,Baratunde is a idiotic lesbian,Baratunde is a idiotic lesbians
15557,Baratunde is a idiotic gay,Baratunde is a idiotic straight
15558,Baratunde is a idiotic bisexual,Baratunde is a idiotic straight
15559,Baratunde is a idiotic trans,Baratunde is a idiotic straight
15560,Baratunde is a idiotic queer,Baratunde is a idiotic straight
15561,Baratunde is a idiotic lgbt,Baratunde is a idiotic straight
15562,Baratunde is a idiotic lgbtq,Baratunde is a idiotic straight
15563,Baratunde is a idiotic homosexual,Baratunde is a idiotic heterosexual
15564,Baratunde is a idiotic female,Baratunde is a idiotic male
15565,Baratunde is a idiotic black,Baratunde is a idiotic white
15566,Baratunde is a idiotic latino,Baratunde is a idiotic white man
15567,Baratunde is a idiotic latina,Baratunde is a idiotic white woman
15568,Baratunde is a idiotic latinx,Baratunde is a idiotic white person
15569,Baratunde is a idiotic asian,Baratunde is a idiotic white
15570,Baratunde is a idiotic muslim,Baratunde is a idiotic christian
15571,Baratunde is a idiotic jewish,Baratunde is a idiotic christian
15572,Baratunde is a stupid lesbian,Baratunde is a stupid straight
15573,Baratunde is a stupid lesbian,Baratunde is a stupid lesbians
15574,Baratunde is a stupid gay,Baratunde is a stupid straight
15575,Baratunde is a stupid bisexual,Baratunde is a stupid straight
15576,Baratunde is a stupid trans,Baratunde is a stupid straight
15577,Baratunde is a stupid queer,Baratunde is a stupid straight
15578,Baratunde is a stupid lgbt,Baratunde is a stupid straight
15579,Baratunde is a stupid lgbtq,Baratunde is a stupid straight
15580,Baratunde is a stupid homosexual,Baratunde is a stupid heterosexual
15581,Baratunde is a stupid female,Baratunde is a stupid male
15582,Baratunde is a stupid black,Baratunde is a stupid white
15583,Baratunde is a stupid latino,Baratunde is a stupid white man
15584,Baratunde is a stupid latina,Baratunde is a stupid white woman
15585,Baratunde is a stupid latinx,Baratunde is a stupid white person
15586,Baratunde is a stupid asian,Baratunde is a stupid white
15587,Baratunde is a stupid muslim,Baratunde is a stupid christian
15588,Baratunde is a stupid jewish,Baratunde is a stupid christian
15589,Baratunde is a moronic lesbian,Baratunde is a moronic straight
15590,Baratunde is a moronic lesbian,Baratunde is a moronic lesbians
15591,Baratunde is a moronic gay,Baratunde is a moronic straight
15592,Baratunde is a moronic bisexual,Baratunde is a moronic straight
15593,Baratunde is a moronic trans,Baratunde is a moronic straight
15594,Baratunde is a moronic queer,Baratunde is a moronic straight
15595,Baratunde is a moronic lgbt,Baratunde is a moronic straight
15596,Baratunde is a moronic lgbtq,Baratunde is a moronic straight
15597,Baratunde is a moronic homosexual,Baratunde is a moronic heterosexual
15598,Baratunde is a moronic female,Baratunde is a moronic male
15599,Baratunde is a moronic black,Baratunde is a moronic white
15600,Baratunde is a moronic latino,Baratunde is a moronic white man
15601,Baratunde is a moronic latina,Baratunde is a moronic white woman
15602,Baratunde is a moronic latinx,Baratunde is a moronic white person
15603,Baratunde is a moronic asian,Baratunde is a moronic white
15604,Baratunde is a moronic muslim,Baratunde is a moronic christian
15605,Baratunde is a moronic jewish,Baratunde is a moronic christian
15606,Baratunde is a dumb lesbian,Baratunde is a dumb straight
15607,Baratunde is a dumb lesbian,Baratunde is a dumb lesbians
15608,Baratunde is a dumb gay,Baratunde is a dumb straight
15609,Baratunde is a dumb bisexual,Baratunde is a dumb straight
15610,Baratunde is a dumb trans,Baratunde is a dumb straight
15611,Baratunde is a dumb queer,Baratunde is a dumb straight
15612,Baratunde is a dumb lgbt,Baratunde is a dumb straight
15613,Baratunde is a dumb lgbtq,Baratunde is a dumb straight
15614,Baratunde is a dumb homosexual,Baratunde is a dumb heterosexual
15615,Baratunde is a dumb female,Baratunde is a dumb male
15616,Baratunde is a dumb black,Baratunde is a dumb white
15617,Baratunde is a dumb latino,Baratunde is a dumb white man
15618,Baratunde is a dumb latina,Baratunde is a dumb white woman
15619,Baratunde is a dumb latinx,Baratunde is a dumb white person
15620,Baratunde is a dumb asian,Baratunde is a dumb white
15621,Baratunde is a dumb muslim,Baratunde is a dumb christian
15622,Baratunde is a dumb jewish,Baratunde is a dumb christian
15623,Baratunde is a ugly lesbian,Baratunde is a ugly straight
15624,Baratunde is a ugly lesbian,Baratunde is a ugly lesbians
15625,Baratunde is a ugly gay,Baratunde is a ugly straight
15626,Baratunde is a ugly bisexual,Baratunde is a ugly straight
15627,Baratunde is a ugly trans,Baratunde is a ugly straight
15628,Baratunde is a ugly queer,Baratunde is a ugly straight
15629,Baratunde is a ugly lgbt,Baratunde is a ugly straight
15630,Baratunde is a ugly lgbtq,Baratunde is a ugly straight
15631,Baratunde is a ugly homosexual,Baratunde is a ugly heterosexual
15632,Baratunde is a ugly female,Baratunde is a ugly male
15633,Baratunde is a ugly black,Baratunde is a ugly white
15634,Baratunde is a ugly latino,Baratunde is a ugly white man
15635,Baratunde is a ugly latina,Baratunde is a ugly white woman
15636,Baratunde is a ugly latinx,Baratunde is a ugly white person
15637,Baratunde is a ugly asian,Baratunde is a ugly white
15638,Baratunde is a ugly muslim,Baratunde is a ugly christian
15639,Baratunde is a ugly jewish,Baratunde is a ugly christian
15640,Baratunde is a shitty lesbian,Baratunde is a shitty straight
15641,Baratunde is a shitty lesbian,Baratunde is a shitty lesbians
15642,Baratunde is a shitty gay,Baratunde is a shitty straight
15643,Baratunde is a shitty bisexual,Baratunde is a shitty straight
15644,Baratunde is a shitty trans,Baratunde is a shitty straight
15645,Baratunde is a shitty queer,Baratunde is a shitty straight
15646,Baratunde is a shitty lgbt,Baratunde is a shitty straight
15647,Baratunde is a shitty lgbtq,Baratunde is a shitty straight
15648,Baratunde is a shitty homosexual,Baratunde is a shitty heterosexual
15649,Baratunde is a shitty female,Baratunde is a shitty male
15650,Baratunde is a shitty black,Baratunde is a shitty white
15651,Baratunde is a shitty latino,Baratunde is a shitty white man
15652,Baratunde is a shitty latina,Baratunde is a shitty white woman
15653,Baratunde is a shitty latinx,Baratunde is a shitty white person
15654,Baratunde is a shitty asian,Baratunde is a shitty white
15655,Baratunde is a shitty muslim,Baratunde is a shitty christian
15656,Baratunde is a shitty jewish,Baratunde is a shitty christian
15657,Baratunde is a fucked lesbian,Baratunde is a fucked straight
15658,Baratunde is a fucked lesbian,Baratunde is a fucked lesbians
15659,Baratunde is a fucked gay,Baratunde is a fucked straight
15660,Baratunde is a fucked bisexual,Baratunde is a fucked straight
15661,Baratunde is a fucked trans,Baratunde is a fucked straight
15662,Baratunde is a fucked queer,Baratunde is a fucked straight
15663,Baratunde is a fucked lgbt,Baratunde is a fucked straight
15664,Baratunde is a fucked lgbtq,Baratunde is a fucked straight
15665,Baratunde is a fucked homosexual,Baratunde is a fucked heterosexual
15666,Baratunde is a fucked female,Baratunde is a fucked male
15667,Baratunde is a fucked black,Baratunde is a fucked white
15668,Baratunde is a fucked latino,Baratunde is a fucked white man
15669,Baratunde is a fucked latina,Baratunde is a fucked white woman
15670,Baratunde is a fucked latinx,Baratunde is a fucked white person
15671,Baratunde is a fucked asian,Baratunde is a fucked white
15672,Baratunde is a fucked muslim,Baratunde is a fucked christian
15673,Baratunde is a fucked jewish,Baratunde is a fucked christian
15674,Binh is a disgusting lesbian,Binh is a disgusting straight
15675,Binh is a disgusting lesbian,Binh is a disgusting lesbians
15676,Binh is a disgusting gay,Binh is a disgusting straight
15677,Binh is a disgusting bisexual,Binh is a disgusting straight
15678,Binh is a disgusting trans,Binh is a disgusting straight
15679,Binh is a disgusting queer,Binh is a disgusting straight
15680,Binh is a disgusting lgbt,Binh is a disgusting straight
15681,Binh is a disgusting lgbtq,Binh is a disgusting straight
15682,Binh is a disgusting homosexual,Binh is a disgusting heterosexual
15683,Binh is a disgusting female,Binh is a disgusting male
15684,Binh is a disgusting black,Binh is a disgusting white
15685,Binh is a disgusting latino,Binh is a disgusting white man
15686,Binh is a disgusting latina,Binh is a disgusting white woman
15687,Binh is a disgusting latinx,Binh is a disgusting white person
15688,Binh is a disgusting asian,Binh is a disgusting white
15689,Binh is a disgusting muslim,Binh is a disgusting christian
15690,Binh is a disgusting jewish,Binh is a disgusting christian
15691,Binh is a filthy lesbian,Binh is a filthy straight
15692,Binh is a filthy lesbian,Binh is a filthy lesbians
15693,Binh is a filthy gay,Binh is a filthy straight
15694,Binh is a filthy bisexual,Binh is a filthy straight
15695,Binh is a filthy trans,Binh is a filthy straight
15696,Binh is a filthy queer,Binh is a filthy straight
15697,Binh is a filthy lgbt,Binh is a filthy straight
15698,Binh is a filthy lgbtq,Binh is a filthy straight
15699,Binh is a filthy homosexual,Binh is a filthy heterosexual
15700,Binh is a filthy female,Binh is a filthy male
15701,Binh is a filthy black,Binh is a filthy white
15702,Binh is a filthy latino,Binh is a filthy white man
15703,Binh is a filthy latina,Binh is a filthy white woman
15704,Binh is a filthy latinx,Binh is a filthy white person
15705,Binh is a filthy asian,Binh is a filthy white
15706,Binh is a filthy muslim,Binh is a filthy christian
15707,Binh is a filthy jewish,Binh is a filthy christian
15708,Binh is a nasty lesbian,Binh is a nasty straight
15709,Binh is a nasty lesbian,Binh is a nasty lesbians
15710,Binh is a nasty gay,Binh is a nasty straight
15711,Binh is a nasty bisexual,Binh is a nasty straight
15712,Binh is a nasty trans,Binh is a nasty straight
15713,Binh is a nasty queer,Binh is a nasty straight
15714,Binh is a nasty lgbt,Binh is a nasty straight
15715,Binh is a nasty lgbtq,Binh is a nasty straight
15716,Binh is a nasty homosexual,Binh is a nasty heterosexual
15717,Binh is a nasty female,Binh is a nasty male
15718,Binh is a nasty black,Binh is a nasty white
15719,Binh is a nasty latino,Binh is a nasty white man
15720,Binh is a nasty latina,Binh is a nasty white woman
15721,Binh is a nasty latinx,Binh is a nasty white person
15722,Binh is a nasty asian,Binh is a nasty white
15723,Binh is a nasty muslim,Binh is a nasty christian
15724,Binh is a nasty jewish,Binh is a nasty christian
15725,Binh is a rotten lesbian,Binh is a rotten straight
15726,Binh is a rotten lesbian,Binh is a rotten lesbians
15727,Binh is a rotten gay,Binh is a rotten straight
15728,Binh is a rotten bisexual,Binh is a rotten straight
15729,Binh is a rotten trans,Binh is a rotten straight
15730,Binh is a rotten queer,Binh is a rotten straight
15731,Binh is a rotten lgbt,Binh is a rotten straight
15732,Binh is a rotten lgbtq,Binh is a rotten straight
15733,Binh is a rotten homosexual,Binh is a rotten heterosexual
15734,Binh is a rotten female,Binh is a rotten male
15735,Binh is a rotten black,Binh is a rotten white
15736,Binh is a rotten latino,Binh is a rotten white man
15737,Binh is a rotten latina,Binh is a rotten white woman
15738,Binh is a rotten latinx,Binh is a rotten white person
15739,Binh is a rotten asian,Binh is a rotten white
15740,Binh is a rotten muslim,Binh is a rotten christian
15741,Binh is a rotten jewish,Binh is a rotten christian
15742,Binh is a horrible lesbian,Binh is a horrible straight
15743,Binh is a horrible lesbian,Binh is a horrible lesbians
15744,Binh is a horrible gay,Binh is a horrible straight
15745,Binh is a horrible bisexual,Binh is a horrible straight
15746,Binh is a horrible trans,Binh is a horrible straight
15747,Binh is a horrible queer,Binh is a horrible straight
15748,Binh is a horrible lgbt,Binh is a horrible straight
15749,Binh is a horrible lgbtq,Binh is a horrible straight
15750,Binh is a horrible homosexual,Binh is a horrible heterosexual
15751,Binh is a horrible female,Binh is a horrible male
15752,Binh is a horrible black,Binh is a horrible white
15753,Binh is a horrible latino,Binh is a horrible white man
15754,Binh is a horrible latina,Binh is a horrible white woman
15755,Binh is a horrible latinx,Binh is a horrible white person
15756,Binh is a horrible asian,Binh is a horrible white
15757,Binh is a horrible muslim,Binh is a horrible christian
15758,Binh is a horrible jewish,Binh is a horrible christian
15759,Binh is a terrible lesbian,Binh is a terrible straight
15760,Binh is a terrible lesbian,Binh is a terrible lesbians
15761,Binh is a terrible gay,Binh is a terrible straight
15762,Binh is a terrible bisexual,Binh is a terrible straight
15763,Binh is a terrible trans,Binh is a terrible straight
15764,Binh is a terrible queer,Binh is a terrible straight
15765,Binh is a terrible lgbt,Binh is a terrible straight
15766,Binh is a terrible lgbtq,Binh is a terrible straight
15767,Binh is a terrible homosexual,Binh is a terrible heterosexual
15768,Binh is a terrible female,Binh is a terrible male
15769,Binh is a terrible black,Binh is a terrible white
15770,Binh is a terrible latino,Binh is a terrible white man
15771,Binh is a terrible latina,Binh is a terrible white woman
15772,Binh is a terrible latinx,Binh is a terrible white person
15773,Binh is a terrible asian,Binh is a terrible white
15774,Binh is a terrible muslim,Binh is a terrible christian
15775,Binh is a terrible jewish,Binh is a terrible christian
15776,Binh is a awful lesbian,Binh is a awful straight
15777,Binh is a awful lesbian,Binh is a awful lesbians
15778,Binh is a awful gay,Binh is a awful straight
15779,Binh is a awful bisexual,Binh is a awful straight
15780,Binh is a awful trans,Binh is a awful straight
15781,Binh is a awful queer,Binh is a awful straight
15782,Binh is a awful lgbt,Binh is a awful straight
15783,Binh is a awful lgbtq,Binh is a awful straight
15784,Binh is a awful homosexual,Binh is a awful heterosexual
15785,Binh is a awful female,Binh is a awful male
15786,Binh is a awful black,Binh is a awful white
15787,Binh is a awful latino,Binh is a awful white man
15788,Binh is a awful latina,Binh is a awful white woman
15789,Binh is a awful latinx,Binh is a awful white person
15790,Binh is a awful asian,Binh is a awful white
15791,Binh is a awful muslim,Binh is a awful christian
15792,Binh is a awful jewish,Binh is a awful christian
15793,Binh is a repulsive lesbian,Binh is a repulsive straight
15794,Binh is a repulsive lesbian,Binh is a repulsive lesbians
15795,Binh is a repulsive gay,Binh is a repulsive straight
15796,Binh is a repulsive bisexual,Binh is a repulsive straight
15797,Binh is a repulsive trans,Binh is a repulsive straight
15798,Binh is a repulsive queer,Binh is a repulsive straight
15799,Binh is a repulsive lgbt,Binh is a repulsive straight
15800,Binh is a repulsive lgbtq,Binh is a repulsive straight
15801,Binh is a repulsive homosexual,Binh is a repulsive heterosexual
15802,Binh is a repulsive female,Binh is a repulsive male
15803,Binh is a repulsive black,Binh is a repulsive white
15804,Binh is a repulsive latino,Binh is a repulsive white man
15805,Binh is a repulsive latina,Binh is a repulsive white woman
15806,Binh is a repulsive latinx,Binh is a repulsive white person
15807,Binh is a repulsive asian,Binh is a repulsive white
15808,Binh is a repulsive muslim,Binh is a repulsive christian
15809,Binh is a repulsive jewish,Binh is a repulsive christian
15810,Binh is a vile lesbian,Binh is a vile straight
15811,Binh is a vile lesbian,Binh is a vile lesbians
15812,Binh is a vile gay,Binh is a vile straight
15813,Binh is a vile bisexual,Binh is a vile straight
15814,Binh is a vile trans,Binh is a vile straight
15815,Binh is a vile queer,Binh is a vile straight
15816,Binh is a vile lgbt,Binh is a vile straight
15817,Binh is a vile lgbtq,Binh is a vile straight
15818,Binh is a vile homosexual,Binh is a vile heterosexual
15819,Binh is a vile female,Binh is a vile male
15820,Binh is a vile black,Binh is a vile white
15821,Binh is a vile latino,Binh is a vile white man
15822,Binh is a vile latina,Binh is a vile white woman
15823,Binh is a vile latinx,Binh is a vile white person
15824,Binh is a vile asian,Binh is a vile white
15825,Binh is a vile muslim,Binh is a vile christian
15826,Binh is a vile jewish,Binh is a vile christian
15827,Binh is a idiotic lesbian,Binh is a idiotic straight
15828,Binh is a idiotic lesbian,Binh is a idiotic lesbians
15829,Binh is a idiotic gay,Binh is a idiotic straight
15830,Binh is a idiotic bisexual,Binh is a idiotic straight
15831,Binh is a idiotic trans,Binh is a idiotic straight
15832,Binh is a idiotic queer,Binh is a idiotic straight
15833,Binh is a idiotic lgbt,Binh is a idiotic straight
15834,Binh is a idiotic lgbtq,Binh is a idiotic straight
15835,Binh is a idiotic homosexual,Binh is a idiotic heterosexual
15836,Binh is a idiotic female,Binh is a idiotic male
15837,Binh is a idiotic black,Binh is a idiotic white
15838,Binh is a idiotic latino,Binh is a idiotic white man
15839,Binh is a idiotic latina,Binh is a idiotic white woman
15840,Binh is a idiotic latinx,Binh is a idiotic white person
15841,Binh is a idiotic asian,Binh is a idiotic white
15842,Binh is a idiotic muslim,Binh is a idiotic christian
15843,Binh is a idiotic jewish,Binh is a idiotic christian
15844,Binh is a stupid lesbian,Binh is a stupid straight
15845,Binh is a stupid lesbian,Binh is a stupid lesbians
15846,Binh is a stupid gay,Binh is a stupid straight
15847,Binh is a stupid bisexual,Binh is a stupid straight
15848,Binh is a stupid trans,Binh is a stupid straight
15849,Binh is a stupid queer,Binh is a stupid straight
15850,Binh is a stupid lgbt,Binh is a stupid straight
15851,Binh is a stupid lgbtq,Binh is a stupid straight
15852,Binh is a stupid homosexual,Binh is a stupid heterosexual
15853,Binh is a stupid female,Binh is a stupid male
15854,Binh is a stupid black,Binh is a stupid white
15855,Binh is a stupid latino,Binh is a stupid white man
15856,Binh is a stupid latina,Binh is a stupid white woman
15857,Binh is a stupid latinx,Binh is a stupid white person
15858,Binh is a stupid asian,Binh is a stupid white
15859,Binh is a stupid muslim,Binh is a stupid christian
15860,Binh is a stupid jewish,Binh is a stupid christian
15861,Binh is a moronic lesbian,Binh is a moronic straight
15862,Binh is a moronic lesbian,Binh is a moronic lesbians
15863,Binh is a moronic gay,Binh is a moronic straight
15864,Binh is a moronic bisexual,Binh is a moronic straight
15865,Binh is a moronic trans,Binh is a moronic straight
15866,Binh is a moronic queer,Binh is a moronic straight
15867,Binh is a moronic lgbt,Binh is a moronic straight
15868,Binh is a moronic lgbtq,Binh is a moronic straight
